split,entity,prompt,position,token_id,token_text
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,9,448, with
train,Nintendo,A concise encyclopedia entry about Nintendo.,0,32,A
train,Nintendo,A concise encyclopedia entry about Nintendo.,1,63594, concise
train,Nintendo,A concise encyclopedia entry about Nintendo.,3,4343, entry
train,Nintendo,A concise encyclopedia entry about Nintendo.,6,13,.
train,Nintendo,A concise encyclopedia entry about Nintendo.,2,82608, encyclopedia
train,Nintendo,A concise encyclopedia entry about Nintendo.,4,911, about
train,Nintendo,A concise encyclopedia entry about Nintendo.,5,22799, Nintendo
train,London,"For a quiz clue, London would be identified from a brief factual description.",12,59901, factual
train,London,"For a quiz clue, London would be identified from a brief factual description.",1,264, a
train,London,"For a quiz clue, London would be identified from a brief factual description.",11,9814, brief
train,London,"For a quiz clue, London would be identified from a brief factual description.",4,11,","
train,London,"For a quiz clue, London would be identified from a brief factual description.",8,10820, identified
train,London,"For a quiz clue, London would be identified from a brief factual description.",10,264, a
train,London,"For a quiz clue, London would be identified from a brief factual description.",9,504, from
train,London,"For a quiz clue, London would be identified from a brief factual description.",0,2461,For
train,London,"For a quiz clue, London would be identified from a brief factual description.",6,1035, would
train,London,"For a quiz clue, London would be identified from a brief factual description.",2,27124, quiz
train,London,"For a quiz clue, London would be identified from a brief factual description.",3,29989, clue
train,London,"For a quiz clue, London would be identified from a brief factual description.",5,7148, London
train,London,"For a quiz clue, London would be identified from a brief factual description.",7,387, be
train,London,"For a quiz clue, London would be identified from a brief factual description.",14,13,.
train,London,"For a quiz clue, London would be identified from a brief factual description.",13,4008, description
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",3,17755, lesson
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",0,641,In
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",9,323, and
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",7,11523, introduced
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",11,3170, why
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",2,24017, classroom
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",1,264, a
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",6,11079, teacher
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",13,12850, matters
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",5,279, the
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",14,13,.
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",4,11,","
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",10,11247, explained
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",12,432, it
train,JavaScript,"In a classroom lesson, the teacher introduced JavaScript and explained why it matters.",8,12914, JavaScript
train,Barcelona,A concise encyclopedia entry about Barcelona.,3,4343, entry
train,Barcelona,A concise encyclopedia entry about Barcelona.,4,911, about
train,Barcelona,A concise encyclopedia entry about Barcelona.,6,13,.
train,Barcelona,A concise encyclopedia entry about Barcelona.,2,82608, encyclopedia
train,Barcelona,A concise encyclopedia entry about Barcelona.,5,26937, Barcelona
train,Barcelona,A concise encyclopedia entry about Barcelona.,0,32,A
train,Barcelona,A concise encyclopedia entry about Barcelona.,1,63594, concise
train,Paris,"The article compared Paris with related people, places, organizations, and events.",12,323, and
train,Paris,"The article compared Paris with related people, places, organizations, and events.",2,7707, compared
train,Paris,"The article compared Paris with related people, places, organizations, and events.",13,4357, events
train,Paris,"The article compared Paris with related people, places, organizations, and events.",3,12095, Paris
train,Paris,"The article compared Paris with related people, places, organizations, and events.",10,11104, organizations
train,Paris,"The article compared Paris with related people, places, organizations, and events.",0,785,The
train,Paris,"The article compared Paris with related people, places, organizations, and events.",14,13,.
train,Paris,"The article compared Paris with related people, places, organizations, and events.",6,1251, people
train,Paris,"The article compared Paris with related people, places, organizations, and events.",11,11,","
train,Paris,"The article compared Paris with related people, places, organizations, and events.",5,5435, related
train,Paris,"The article compared Paris with related people, places, organizations, and events.",8,7482, places
train,Paris,"The article compared Paris with related people, places, organizations, and events.",7,11,","
train,Paris,"The article compared Paris with related people, places, organizations, and events.",9,11,","
train,Paris,"The article compared Paris with related people, places, organizations, and events.",4,448, with
train,Paris,"The article compared Paris with related people, places, organizations, and events.",1,4549, article
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",6,1221, then
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",12,11652, sentence
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",8,279, the
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",2,8388, notes
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",0,30952,Students
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",7,68629, summarized
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",3,911, about
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",1,6139, wrote
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",5,11,","
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",9,8544, topic
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",10,304, in
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",4,8330, Australia
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",11,825, one
train,Australia,"Students wrote notes about Australia, then summarized the topic in one sentence.",13,13,.
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",11,68629, summarized
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",1,6139, wrote
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",9,11,","
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",10,1221, then
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",8,72,i
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",5,84134,ileo
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",3,911, about
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",6,10620, Gal
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",0,30952,Students
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",12,279, the
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",13,8544, topic
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",7,457,ile
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",16,11652, sentence
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",4,10620, Gal
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",14,304, in
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",2,8388, notes
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",15,825, one
train,Galileo Galilei,"Students wrote notes about Galileo Galilei, then summarized the topic in one sentence.",17,13,.
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",13,11652, sentence
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",9,279, the
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",2,8388, notes
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",8,68629, summarized
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",10,8544, topic
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",7,1221, then
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",12,825, one
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",6,11,","
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",1,6139, wrote
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",3,911, about
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",14,13,.
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",11,304, in
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",4,16462, Pacific
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",0,30952,Students
train,Pacific Ocean,"Students wrote notes about Pacific Ocean, then summarized the topic in one sentence.",5,21575, Ocean
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",1,264, a
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",8,4882, South
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",11,11247, explained
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",5,279, the
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",14,12850, matters
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",3,17755, lesson
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",10,323, and
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",2,24017, classroom
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",13,432, it
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",12,3170, why
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",0,641,In
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",4,11,","
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",7,11523, introduced
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",9,11862, Korea
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",15,13,.
train,South Korea,"In a classroom lesson, the teacher introduced South Korea and explained why it matters.",6,11079, teacher
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,0,32,A
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,2,82608, encyclopedia
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,6,409, de
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,1,63594, concise
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,8,13,.
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,7,60323, Janeiro
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,5,26961, Rio
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,3,4343, entry
train,Rio de Janeiro,A concise encyclopedia entry about Rio de Janeiro.,4,911, about
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",16,13,.
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",14,476, or
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",13,11,","
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",15,3840, history
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",7,24392, discussing
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",9,11,","
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",1,3545, often
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",10,53142, geography
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",11,11,","
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",4,4264, God
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",8,7674, culture
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",5,23017,father
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",3,576, The
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",2,6286, mention
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",12,8038, science
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",6,979, when
train,The Godfather,"Researchers often mention The Godfather when discussing culture, geography, science, or history.",0,59110,Researchers
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",3,17755, lesson
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",13,12850, matters
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",11,3170, why
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",7,11523, introduced
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",8,5085, Google
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",6,11079, teacher
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",14,13,.
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",10,11247, explained
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",2,24017, classroom
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",4,11,","
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",1,264, a
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",5,279, the
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",12,432, it
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",9,323, and
train,Google,"In a classroom lesson, the teacher introduced Google and explained why it matters.",0,641,In
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",14,13,.
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",4,11,","
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",13,12850, matters
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",8,7148, London
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",3,17755, lesson
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",9,323, and
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",1,264, a
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",11,3170, why
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",2,24017, classroom
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",12,432, it
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",5,279, the
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",7,11523, introduced
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",10,11247, explained
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",6,11079, teacher
train,London,"In a classroom lesson, the teacher introduced London and explained why it matters.",0,641,In
train,India,The topic is India.,4,13,.
train,India,The topic is India.,1,8544, topic
train,India,The topic is India.,0,785,The
train,India,The topic is India.,2,374, is
train,India,The topic is India.,3,6747, India
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",9,1221, then
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",2,8388, notes
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",6,6210, King
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",14,825, one
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",1,6139, wrote
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",11,279, the
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",5,35202, Luther
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",12,8544, topic
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",10,68629, summarized
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",15,11652, sentence
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",4,11565, Martin
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",13,304, in
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",16,13,.
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",7,15640, Jr
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",3,911, about
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",0,30952,Students
train,Martin Luther King Jr.,"Students wrote notes about Martin Luther King Jr., then summarized the topic in one sentence.",8,2572,".,"
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,3,374, is
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,7,7952, appears
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,5,3832, subject
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,6,429, that
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,4,264, a
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,11,323, and
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,10,6467, books
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,1,25,:
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,12,4586, general
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,2,22642, Netflix
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,13,6540, knowledge
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,15,13,.
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,0,8706,Background
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,14,7032, tests
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,8,304, in
train,Netflix,Background: Netflix is a subject that appears in reference books and general knowledge tests.,9,5785, reference
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",13,4357, events
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",2,7707, compared
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",1,4549, article
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",0,785,The
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",14,13,.
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",6,1251, people
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",8,7482, places
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",3,24081, Madrid
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",10,11104, organizations
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",7,11,","
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",4,448, with
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",5,5435, related
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",11,11,","
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",12,323, and
train,Madrid,"The article compared Madrid with related people, places, organizations, and events.",9,11,","
train,"Washington, D.C.","The topic is Washington, D.C..",6,727,.C
train,"Washington, D.C.","The topic is Washington, D.C..",4,11,","
train,"Washington, D.C.","The topic is Washington, D.C..",0,785,The
train,"Washington, D.C.","The topic is Washington, D.C..",2,374, is
train,"Washington, D.C.","The topic is Washington, D.C..",3,6515, Washington
train,"Washington, D.C.","The topic is Washington, D.C..",5,422, D
train,"Washington, D.C.","The topic is Washington, D.C..",7,496,..
train,"Washington, D.C.","The topic is Washington, D.C..",1,8544, topic
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",6,11,","
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",5,22126, Revolution
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",0,30952,Students
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",4,8585, French
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",12,825, one
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",3,911, about
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",2,8388, notes
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",7,1221, then
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",14,13,.
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",9,279, the
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",11,304, in
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",1,6139, wrote
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",13,11652, sentence
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",10,8544, topic
train,French Revolution,"Students wrote notes about French Revolution, then summarized the topic in one sentence.",8,68629, summarized
train,Intel,A concise encyclopedia entry about Intel.,3,4343, entry
train,Intel,A concise encyclopedia entry about Intel.,5,15611, Intel
train,Intel,A concise encyclopedia entry about Intel.,0,32,A
train,Intel,A concise encyclopedia entry about Intel.,4,911, about
train,Intel,A concise encyclopedia entry about Intel.,1,63594, concise
train,Intel,A concise encyclopedia entry about Intel.,2,82608, encyclopedia
train,Intel,A concise encyclopedia entry about Intel.,6,13,.
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,4,429, that
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,14,13,.
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,5,24545, Industrial
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,9,65252, recognizable
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,2,14311, paragraph
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,12,5815, associated
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,11,323, and
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,3,2727, says
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,6,22126, Revolution
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,7,702, has
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,0,32,A
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,13,4008, description
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,1,2805, short
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,8,264, a
train,Industrial Revolution,A short paragraph says that Industrial Revolution has a recognizable name and associated description.,10,829, name
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",1,264, a
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",11,3170, why
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",9,323, and
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",6,11079, teacher
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",0,641,In
train,Titanic,"In a classroom lesson, the teacher introduced Titanic and explained why it matters.",3,17755, lesson
